name,year,kilometers_Driven,fuel_Type,transmission,owner_Type,mileage,selling_price,price
Tata Indigo LX,2015,78008,Diesel,Manual,First,17.0 kmpl,2.9,290000
Mercedes-Benz M-Class ML 350 4Matic,2014,33000,Diesel,Automatic,Second,0.0 kmpl,43,4300000
Volkswagen Beetle 2.0,2009,27078,Petrol,Automatic,First,10.98 kmpl,15.95,1595000
Volkswagen Polo GT TDI,2011,57275,Diesel,Manual,First,19.7 kmpl,4.5,450000
Hyundai Grand i10 CRDi Magna,2014,45000,Diesel,Manual,First,24.0 kmpl,3.49,349000
Maruti Swift VDI BSIV,2014,57319,Diesel,Manual,First,25.2 kmpl,4.25,425000
Hyundai Verna CRDi 1.4 E,2008,121097,Diesel,Manual,Second,24.0 kmpl,1.9,190000
BMW 5 Series 2003-2012 525d,2011,89000,Diesel,Automatic,First,16.73 kmpl,16.57,1657000
Honda City 1.5 S MT,2012,72000,Petrol,Manual,First,17.0 kmpl,5.75,575000
Audi A4 2.0 TDI,2013,36000,Diesel,Automatic,Second,16.55 kmpl,14,1400000
Fiat Linea Classic Plus 1.3 Multijet,2013,86000,Diesel,Manual,Second,19.5 kmpl,2.5,250000
Honda City 1.3 EXI,2002,85000,Petrol,Manual,First,13.0 kmpl,1.2,120000
Fiat Petra 1.2 EL,2005,120000,Petrol,Manual,Second,15.5 kmpl,0.85,85000
BMW 3 Series 320d Luxury Line,2013,37613,Diesel,Automatic,First,22.69 kmpl,13.95,1395000
Ford Fiesta 1.4 Duratec EXI,2007,100000,Petrol,Manual,First,16.6 kmpl,1.6,160000
Tata Nano XTA,2016,5240,Petrol,Automatic,First,21.9 kmpl,3.6,360000
Maruti Eeco 5 STR With AC Plus HTR CNG,2018,20000,CNG,Manual,First,15.1 km/kg,4.5,450000
Maruti Ignis 1.2 Delta,2019,16862,Petrol,Manual,First,20.89 kmpl,6.06,606000
Maruti Swift Dzire ZXi,2013,59254,Petrol,Manual,Second,17.5 kmpl,5.29,529000
Ford Ecosport 1.5 DV5 MT Titanium,2014,60000,Diesel,Manual,First,22.7 kmpl,5.75,575000
Maruti Swift 1.3 ZXI,2015,50295,Petrol,Manual,First,16.1 kmpl,5.8,580000
Maruti Swift Dzire VXI,2014,47674,Petrol,Manual,First,19.1 kmpl,5.72,572000
Hyundai i10 Sportz AT,2014,61517,Petrol,Automatic,First,16.95 kmpl,4.39,439000
Mahindra XUV500 W6 2WD,2016,62946,Diesel,Manual,First,15.1 kmpl,11.05,1105000
Hyundai i20 Magna 1.4 CRDi,2015,66823,Diesel,Manual,Second,22.54 kmpl,4.83,483000
Maruti Wagon R CNG LXI,2013,79494,CNG,Manual,First,33.54 km/kg,2.96,296000
Hyundai i20 Asta 1.4 CRDi,2012,107000,Diesel,Manual,Second,21.27 kmpl,4.5,450000
BMW 7 Series 730Ld,2011,55000,Diesel,Automatic,Second,16.46 kmpl,19.5,1950000
Skoda Rapid 1.6 MPI AT Style Plus,2017,24000,Petrol,Automatic,First,14.3 kmpl,8.75,875000
Audi Q7 45 TDI Quattro Technology,2016,20002,Diesel,Automatic,First,14.75 kmpl,67,6700000
Honda City i VTEC VX,2016,54317,Petrol,Manual,First,17.4 kmpl,8.4,840000
Hyundai Xcent 1.2 Kappa SX,2016,10200,Petrol,Manual,First,19.1 kmpl,4.99,499000
Honda City i DTec E,2016,24337,Diesel,Manual,First,26.0 kmpl,8.18,818000
Honda Brio S Option MT,2012,79000,Petrol,Manual,First,18.4 kmpl,2.9,290000
Maruti Ciaz ZDi Plus SHVS,2015,40500,Diesel,Manual,First,28.09 kmpl,7.1,710000
Maruti Swift Dzire VDI Optional,2016,23000,Diesel,Manual,First,26.59 kmpl,7.05,705000
Honda CR-V 2.4L 4WD AT,2015,63050,Petrol,Automatic,First,11.1 kmpl,17.5,1750000
Toyota Corolla Altis 2008-2013 1.8 VL AT,2008,78000,Petrol,Automatic,Second,14.53 kmpl,3.41,341000
Maruti Baleno Vxi,2005,70000,Petrol,Manual,First,0.0 kmpl,1.3,130000
Honda City 1.5 V MT,2012,66245,Petrol,Manual,First,17.0 kmpl,5.68,568000
Mahindra Scorpio LX BS IV,2007,74112,Diesel,Manual,First,12.05 kmpl,4.1,410000
Skoda Laura 1.8 TSI Ambiente,2011,87670,Petrol,Manual,First,13.4 kmpl,4,400000
BMW 3 Series 320d Sport Line,2015,10000,Diesel,Automatic,First,18.88 kmpl,30,3000000
Maruti SX4 Zxi BSIII,2007,62493,Petrol,Manual,First,15.0 kmpl,1.8,180000
Maruti Ciaz VXi Plus,2015,44620,Petrol,Manual,First,20.73 kmpl,6.93,693000
Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,2012,66538,Diesel,Automatic,First,10.2 kmpl,70,7000000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,60000,Diesel,Manual,First,12.99 kmpl,7.9,790000
Hyundai Santro Xing GL,2011,20842,Petrol,Manual,First,0.0 kmpl,2.78,278000
Hyundai Santa Fe 4WD AT,2014,110000,Diesel,Automatic,First,13.01 kmpl,14.4,1440000
Mercedes-Benz New C-Class C250 Avantgarde,2011,45000,Petrol,Automatic,Second,11.74 kmpl,13.5,1350000
Maruti Wagon R LXI CNG,2014,40000,CNG,Manual,Second,26.6 km/kg,3.15,315000
Maruti Alto LXi,2012,49008,Petrol,Manual,First,19.7 kmpl,2.88,288000
Maruti Alto 800 2016-2019 LXI,2016,31000,Petrol,Manual,First,24.7 kmpl,2.15,215000
Nissan Sunny 2011-2014 XV,2013,8000,Petrol,Manual,First,16.95 kmpl,3.75,375000
Maruti Alto 800 2016-2019 VXI,2019,171,Petrol,Manual,First,24.7 kmpl,3.6,360000
Maruti Alto K10 VXI,2018,2100,Petrol,Manual,First,24.07 kmpl,3.6,360000
Hyundai Grand i10 1.2 Kappa Sportz AT,2018,20667,Petrol,Automatic,First,18.9 kmpl,7.55,755000
Honda Mobilio S i DTEC,2015,50000,Diesel,Manual,First,24.2 kmpl,4.7,470000
Tata Manza Aqua Quadrajet,2010,100030,Diesel,Manual,Second,18.8 kmpl,1.6,160000
Chevrolet Optra Magnum 2.0 LT,2011,75372,Diesel,Manual,First,16.52 kmpl,3.34,334000
Honda City i VTEC CVT VX,2016,60475,Petrol,Automatic,First,18.0 kmpl,9.1,910000
Hyundai Grand i10 1.2 Kappa Sportz,2019,18453,Petrol,Manual,First,18.9 kmpl,6.17,617000
Hyundai Verna CRDi 1.6 SX,2008,96578,Diesel,Manual,First,22.0 kmpl,2.5,250000
Nissan Micra XL,2016,31001,Petrol,Manual,First,18.44 kmpl,3,300000
Hyundai Verna 1.6 SX,2012,65900,Diesel,Manual,First,22.32 kmpl,5.75,575000
Hyundai Creta 1.6 VTVT E Plus,2017,26246,Petrol,Manual,First,15.29 kmpl,10.75,1075000
Maruti Wagon R VXI BS IV,2013,62700,Petrol,Manual,Second,20.51 kmpl,2.85,285000
Honda Accord 2.4 Elegance A/T,2008,90000,Petrol,Automatic,First,10.2 kmpl,6.5,650000
Honda City 1.5 S AT,2016,36000,Petrol,Automatic,First,16.8 kmpl,9.45,945000
Maruti Baleno Alpha 1.3,2016,46000,Diesel,Manual,First,27.39 kmpl,6.75,675000
Honda City i DTec V,2017,73003,Diesel,Manual,First,26.0 kmpl,7.75,775000
Hyundai i20 Era 1.4 CRDi,2014,46566,Diesel,Manual,First,22.54 kmpl,4.4,440000
Mercedes-Benz E-Class 2015-2017 E350 Edition E,2015,41493,Diesel,Automatic,First,13.0 kmpl,42,4200000
Nissan Terrano XV 110 PS,2014,103788,Diesel,Manual,First,19.01 kmpl,5.67,567000
Renault Duster 110PS Diesel RxZ AMT,2016,45000,Diesel,Automatic,First,19.6 kmpl,11.5,1150000
Maruti Wagon R LXI Minor,2009,120000,Petrol,Manual,First,18.9 kmpl,1.69,169000
Hyundai Getz 1.5 CRDi GVS,2009,97359,Diesel,Manual,Second,17.1 kmpl,1.8,180000
Maruti Ritz LXi,2016,62000,Petrol,Manual,First,18.5 kmpl,3.2,320000
Honda City 1.5 GXI,2004,115000,Petrol,Manual,Second,0.0 kmpl,1.5,150000
BMW 5 Series 520d Sport Line,2019,18373,Diesel,Automatic,First,22.48 kmpl,45.86,4586000
Volkswagen Polo 1.2 MPI Highline,2016,60453,Petrol,Manual,First,16.47 kmpl,5.1,510000
Maruti Swift VDI BSIV,2013,37000,Diesel,Manual,First,17.8 kmpl,4.85,485000
Ford Figo Petrol ZXI,2010,69009,Petrol,Manual,Second,15.6 kmpl,2.4,240000
BMW 3 Series 320d Luxury Line,2013,30000,Diesel,Automatic,First,18.88 kmpl,22,2200000
Hyundai Verna 1.6 SX CRDi (O),2012,70707,Diesel,Manual,First,22.32 kmpl,4.28,428000
Renault Duster 85PS Diesel RxL,2015,64677,Diesel,Manual,First,20.45 kmpl,5.67,567000
Hyundai Grand i10 1.2 Kappa Magna AT,2018,3000,Petrol,Automatic,First,18.9 kmpl,6.2,620000
BMW X1 sDrive20d,2013,49000,Diesel,Automatic,Second,17.05 kmpl,14.49,1449000
Maruti Ritz VDi,2010,71000,Diesel,Manual,First,21.1 kmpl,3,300000
Hyundai i10 Era 1.1 iTech SE,2010,52000,Petrol,Manual,Second,19.81 kmpl,2.25,225000
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2016,35659,Diesel,Automatic,First,15.97 kmpl,43.78,4378000
Honda City V MT Exclusive,2019,5377,Petrol,Manual,First,16.8 kmpl,11.45,1145000
Mahindra Ssangyong Rexton RX7,2014,65000,Diesel,Automatic,First,11.18 kmpl,10.5,1050000
Ford Ecosport 1.5 DV5 MT Titanium Optional,2015,92708,Diesel,Manual,First,22.7 kmpl,7.48,748000
Maruti Alto LXi,2010,48105,Petrol,Manual,First,19.7 kmpl,3.1,310000
Volkswagen Polo 1.2 MPI Highline,2011,46759,Petrol,Manual,First,16.47 kmpl,2.55,255000
Volkswagen Polo Diesel Comfortline 1.2L,2013,62000,Diesel,Manual,First,22.07 kmpl,3.5,350000
Volkswagen Polo Diesel Highline 1.2L,2012,35175,Diesel,Manual,First,22.07 kmpl,2.59,259000
Maruti Ertiga ZDI,2013,70000,Diesel,Manual,First,20.77 kmpl,5.45,545000
Ford EcoSport 1.5 TDCi Ambiente,2017,30000,Diesel,Manual,First,22.77 kmpl,6,600000
Toyota Innova Crysta 2.8 ZX AT,2016,66618,Diesel,Automatic,First,11.36 kmpl,15.49,1549000
BMW 5 Series 523i Sedan,2010,69300,Petrol,Automatic,Second,10.8 kmpl,12.5,1250000
Maruti Swift Dzire Tour LDI,2017,148000,Diesel,Manual,First,23.4 kmpl,4.75,475000
Ford Ecosport 1.0 Ecoboost Platinum Edition,2017,22000,Petrol,Manual,First,18.88 kmpl,7.85,785000
Hyundai Verna CRDi SX,2013,75000,Diesel,Manual,First,16.8 kmpl,6,600000
Tata Zest Revotron 1.2T XM,2016,43706,Petrol,Manual,First,17.57 kmpl,4,400000
Audi A7 2011-2015 3.0 TDI Quattro,2011,42000,Diesel,Automatic,First,14.4 kmpl,28.75,2875000
Tata Indica Vista Quadrajet VX,2012,65000,Diesel,Manual,First,22.3 kmpl,2.5,250000
Maruti Swift Dzire VDI,2015,76128,Diesel,Manual,First,26.59 kmpl,5.5,550000
Fiat Linea Emotion,2010,39852,Petrol,Manual,First,16.0 kmpl,1.59,159000
Hyundai i20 1.2 Spotz,2017,18673,Petrol,Manual,First,18.6 kmpl,6.22,622000
Hyundai EON Era Plus,2016,11583,Petrol,Manual,First,21.1 kmpl,2.75,275000
Hyundai Santro Xing XL,2007,82000,Petrol,Manual,Second,0.0 kmpl,1.35,135000
Mercedes-Benz GLA Class 200 CDI SPORT,2017,50000,Diesel,Automatic,First,17.9 kmpl,25,2500000
Maruti Celerio VXI,2014,77000,Petrol,Manual,First,23.1 kmpl,2.8,280000
Chevrolet Beat LT,2014,54890,Petrol,Manual,Second,17.8 kmpl,2.45,245000
Honda Jazz 1.2 V AT i VTEC Privilege,2016,21000,Petrol,Automatic,First,19.0 kmpl,6.35,635000
BMW 3 Series 320d Highline,2009,58557,Diesel,Automatic,Third,16.07 kmpl,8,800000
Renault Duster 110PS Diesel RxL,2014,70000,Diesel,Manual,First,19.01 kmpl,8.25,825000
Ford Figo 2015-2019 1.5P Titanium AT,2017,16000,Petrol,Automatic,First,17.01 kmpl,5.95,595000
Toyota Innova Crysta 2.4 VX MT,2018,8899,Diesel,Manual,First,13.68 kmpl,19.92,1992000
Chevrolet Beat Diesel LS,2016,83629,Diesel,Manual,First,25.44 kmpl,3.15,315000
Volkswagen Polo GTI,2014,35059,Petrol,Automatic,First,17.21 kmpl,5.75,575000
Ford Endeavour 3.2 Trend AT 4X4,2018,30552,Diesel,Automatic,First,10.91 kmpl,32.44,3244000
Hyundai Verna 1.6 SX CRDI (O) AT,2016,44875,Diesel,Automatic,Second,22.32 kmpl,8.01,801000
Ford Figo 2015-2019 1.2P Titanium Opt MT,2017,25095,Petrol,Manual,First,18.16 kmpl,6.48,648000
Maruti 800 AC,2007,59000,Petrol,Manual,First,16.1 kmpl,0.75,75000
Honda City i DTEC V,2014,36000,Diesel,Manual,First,26.0 kmpl,5,500000
Mahindra XUV500 W8 2WD,2012,37000,Diesel,Manual,First,16.0 kmpl,7.75,775000
Ford Figo Diesel ZXI,2010,90000,Diesel,Manual,First,20.0 kmpl,2.6,260000
Ford EcoSport 1.5 Petrol Titanium,2018,17000,Petrol,Manual,First,17.0 kmpl,9.2,920000
Hyundai i20 Asta 1.2,2015,42575,Petrol,Manual,First,18.6 kmpl,5.05,505000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2012,131000,Diesel,Manual,First,12.99 kmpl,9.6,960000
Renault Duster 85PS Diesel RxL Optional,2013,74000,Diesel,Manual,First,20.46 kmpl,5.5,550000
Toyota Innova 2.5 VX (Diesel) 8 Seater,2013,47234,Diesel,Manual,First,12.99 kmpl,9.35,935000
Honda City 1.5 S MT,2009,231673,Petrol,Manual,First,17.0 kmpl,2.6,260000
Maruti Alto K10 VXI,2016,10000,Petrol,Manual,First,24.07 kmpl,3.5,350000
Nissan Micra Active XL Petrol,2016,49389,Petrol,Manual,First,19.49 kmpl,4.26,426000
Maruti Celerio VXI AT,2016,12000,Petrol,Automatic,Second,23.1 kmpl,4.25,425000
Mercedes-Benz New C-Class 200 Kompressor,2010,65000,Petrol,Manual,Second,11.7 kmpl,11.75,1175000
Ford Fiesta Diesel Style,2013,177000,Diesel,Manual,First,23.5 kmpl,3.5,350000
Hyundai Verna 1.6 VTVT S,2015,89000,Petrol,Manual,First,17.01 kmpl,7.5,750000
Hyundai i20 1.4 Asta (AT),2009,72000,Petrol,Automatic,Third,15.0 kmpl,3.25,325000
Maruti Swift Dzire VXi,2012,49000,Petrol,Manual,First,17.5 kmpl,4.9,490000
Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,2014,51355,Diesel,Automatic,First,14.84 kmpl,27,2700000
Hyundai Elite i20 Petrol Asta,2017,13460,Petrol,Manual,First,18.6 kmpl,8.91,891000
Hyundai Verna 1.6 VTVT EX AT,2014,35642,Petrol,Automatic,First,17.01 kmpl,6.69,669000
Chevrolet Cruze LTZ,2014,52895,Diesel,Manual,First,17.3 kmpl,6.02,602000
Toyota Corolla Altis 1.8 G,2010,93000,Petrol,Manual,First,14.28 kmpl,4.5,450000
Maruti A-Star Vxi,2011,70000,Petrol,Manual,First,19.0 kmpl,2,200000
Nissan Micra Diesel XV Premium,2012,32048,Diesel,Manual,First,23.08 kmpl,2.4,240000
Tata Nano LX,2013,4700,Petrol,Manual,First,25.4 kmpl,1.2,120000
Maruti Swift Dzire Tour LDI,2014,71800,Diesel,Manual,First,23.4 kmpl,2.9,290000
Land Rover Range Rover Sport 2005 2012 Sport,2008,69078,Petrol,Manual,First,0.0 kmpl,40.88,4088000
Audi Q3 2.0 TDI Quattro,2016,45000,Diesel,Automatic,First,17.32 kmpl,27,2700000
Honda Amaze VX i-DTEC,2016,15388,Diesel,Manual,First,25.8 kmpl,7.5,750000
Chevrolet Optra 1.6 LS,2004,98798,Petrol,Manual,First,14.7 kmpl,1.5,150000
Audi Q5 2.0 TDI Premium Plus,2016,43000,Diesel,Automatic,First,14.16 kmpl,39.5,3950000
Maruti Ritz VDi,2012,85112,Diesel,Manual,First,23.2 kmpl,3.39,339000
Mahindra Scorpio S6 7 Seater,2018,37804,Diesel,Manual,First,15.4 kmpl,12.4,1240000
Maruti Ciaz ZDi SHVS,2014,45000,Diesel,Manual,First,28.09 kmpl,6.85,685000
Toyota Corolla Altis Aero D 4D J,2011,116000,Diesel,Manual,Second,21.43 kmpl,5.75,575000
Tata Indica V2 eLS,2015,100073,Diesel,Manual,Second,25.0 kmpl,2,200000
Maruti 800 Std BSIII,2006,165000,Petrol,Manual,First,16.1 kmpl,0.9,90000
Volkswagen Polo 1.2 MPI Highline,2015,22000,Petrol,Manual,First,16.47 kmpl,3.8,380000
Hyundai Elantra 2.0 SX Option AT,2017,9500,Petrol,Automatic,First,14.62 kmpl,16.35,1635000
Toyota Fortuner 4x2 4 Speed AT,2012,152000,Diesel,Automatic,First,11.5 kmpl,16.5,1650000
Maruti Baleno Zeta 1.2,2019,17705,Petrol,Manual,First,21.4 kmpl,8.7,870000
Maruti Baleno Zeta 1.2,2016,12000,Petrol,Manual,First,21.4 kmpl,6.1,610000
Mini Cooper Countryman D,2013,51000,Diesel,Automatic,First,23.8 kmpl,21.94,2194000
Mercedes-Benz S Class 2005 2013 320 CDI,2009,42000,Diesel,Automatic,Second,13.0 kmpl,22,2200000
Maruti Alto K10 LXI,2015,51000,Petrol,Manual,First,20.92 kmpl,2.65,265000
Maruti Swift VXI Optional,2017,42527,Petrol,Manual,First,20.4 kmpl,5.27,527000
Chevrolet Sail LT ABS,2014,45000,Diesel,Manual,First,22.1 kmpl,2.48,248000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,70000,Diesel,Manual,First,12.8 kmpl,6,600000
Toyota Fortuner 3.0 Diesel,2009,92000,Diesel,Manual,First,11.5 kmpl,8.9,890000
BMW 3 Series 320d Sport Line,2012,57156,Diesel,Automatic,Second,18.88 kmpl,18,1800000
Skoda Octavia Ambition 1.4 TSI MT,2016,53211,Petrol,Manual,First,16.8 kmpl,11.64,1164000
Toyota Fortuner 3.0 Diesel,2019,80000,Diesel,Manual,First,11.5 kmpl,8.99,899000
Volkswagen Jetta 2007-2011 1.9 Highline TDI,2009,74000,Diesel,Automatic,First,15.5 kmpl,5.25,525000
Hyundai i20 1.4 CRDi Asta,2011,37000,Diesel,Manual,First,23.0 kmpl,2.95,295000
Tata Manza Club Class Quadrajet90 LX,2013,64000,Diesel,Manual,Second,21.02 kmpl,2.65,265000
Volkswagen Vento Petrol Highline,2013,57197,Petrol,Manual,First,15.04 kmpl,4,400000
Hyundai Creta 1.6 SX Automatic Diesel,2016,55000,Diesel,Automatic,First,17.6 kmpl,12.5,1250000
Maruti Ritz VXI,2014,33000,Petrol,Manual,First,21.1 kmpl,3.25,325000
Honda CR-V 2.0L 2WD MT,2008,70000,Petrol,Manual,First,13.1 kmpl,4,400000
Mahindra XUV500 W8 2WD,2012,75000,Diesel,Manual,Second,15.1 kmpl,6.25,625000
Volkswagen Ameo 1.5 TDI Comfortline,2016,58095,Diesel,Manual,First,21.66 kmpl,5.8,580000
Tata Zest Revotron 1.2 XT,2015,7445,Petrol,Manual,First,17.57 kmpl,5,500000
Jaguar XJ 3.0L Portfolio LWB,2016,17652,Diesel,Automatic,First,12.9 kmpl,58.73,5873000
Toyota Corolla Altis 1.8 VL CVT,2018,28321,Petrol,Automatic,First,14.28 kmpl,17.49,1749000
Maruti A-Star Vxi,2011,69000,Petrol,Manual,Second,19.0 kmpl,1.95,195000
Honda Accord VTi-L (AT),2007,80000,Petrol,Automatic,First,11.1 kmpl,3,300000
Hyundai i20 Asta (o),2014,42365,Petrol,Manual,First,17.0 kmpl,5.5,550000
Toyota Fortuner 4x2 AT,2013,123000,Diesel,Automatic,First,12.55 kmpl,16.5,1650000
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2011,40000,Petrol,Automatic,Second,11.74 kmpl,14.5,1450000
Maruti Baleno Alpha 1.3,2016,30112,Diesel,Manual,First,27.39 kmpl,7.79,779000
Maruti Ertiga VDI,2017,43775,Diesel,Manual,First,20.77 kmpl,8.27,827000
Land Rover Range Rover Sport SE,2019,26013,Diesel,Automatic,First,12.65 kmpl,97.07,9707000
Chevrolet Optra Magnum 1.6 LT ABS BS3,2012,56000,Petrol,Manual,First,12.9 kmpl,2.15,215000
Honda Civic 2006-2010 1.8 V AT,2008,95000,Petrol,Automatic,Second,12.9 kmpl,3,300000
BMW X3 xDrive20d,2014,41089,Diesel,Automatic,First,16.09 kmpl,28.79,2879000
Skoda Laura Ambition 2.0 TDI CR AT,2011,41988,Diesel,Automatic,First,20.0 kmpl,5.45,545000
Maruti Swift Dzire VDI,2013,72486,Diesel,Manual,First,23.4 kmpl,3.95,395000
Volvo V40 Cross Country D3,2013,92000,Diesel,Automatic,First,23.3 kmpl,16,1600000
Maruti Swift Dzire ZXi,2013,40000,Petrol,Manual,First,17.5 kmpl,4.25,425000
Land Rover Range Rover 2.2L Pure,2014,56000,Diesel,Automatic,First,12.7 kmpl,34.5,3450000
Honda Accord 2.4 AT,2008,125000,Petrol,Automatic,Third,11.7 kmpl,2.6,260000
Toyota Innova 2.5 G (Diesel) 8 Seater,2017,29219,Diesel,Manual,First,12.99 kmpl,13.48,1348000
Toyota Fortuner 4x4 MT,2018,39927,Diesel,Manual,First,12.55 kmpl,32.1,3210000
Honda Jazz 1.2 E i VTEC,2018,38593,Petrol,Manual,First,18.7 kmpl,6.17,617000
Honda City 1.5 V MT,2015,32000,Petrol,Manual,First,17.0 kmpl,5.5,550000
Maruti Dzire AMT ZDI Plus,2017,28226,Diesel,Automatic,First,28.4 kmpl,9.15,915000
Nissan Sunny 2011-2014 Diesel XL,2014,95000,Diesel,Manual,First,21.64 kmpl,4.5,450000
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,194000,Diesel,Manual,First,12.99 kmpl,10.5,1050000
Honda Brio S MT,2016,14821,Petrol,Manual,First,19.4 kmpl,5.37,537000
Volkswagen Vento Petrol Trendline,2012,52000,Petrol,Manual,First,15.04 kmpl,5.45,545000
Mahindra XUV500 W4,2016,33000,Diesel,Manual,First,16.0 kmpl,9.25,925000
Ford EcoSport 1.5 Diesel Titanium Plus,2016,29200,Diesel,Manual,First,23.0 kmpl,7.7,770000
Skoda Yeti Ambition 4X2,2012,99754,Diesel,Manual,First,17.72 kmpl,7.99,799000
Hyundai i10 Sportz,2012,49000,Petrol,Manual,First,20.36 kmpl,3,300000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2005,299322,Diesel,Manual,First,12.8 kmpl,4,400000
Tata Zest Quadrajet 1.3 XT,2018,38310,Diesel,Manual,First,20.65 kmpl,6.69,669000
Maruti Swift VDI,2014,56000,Diesel,Manual,First,22.9 kmpl,4.25,425000
Skoda Rapid 1.5 TDI AT Style,2017,31300,Diesel,Automatic,First,21.72 kmpl,10.5,1050000
Toyota Innova Crysta 2.4 VX MT 8S,2019,11241,Diesel,Manual,First,13.68 kmpl,22.55,2255000
Hyundai Verna 1.6 SX VTVT,2014,48000,Petrol,Manual,Second,17.01 kmpl,5.2,520000
Honda City i VTEC VX Option,2019,23882,Petrol,Manual,First,17.4 kmpl,11.87,1187000
Honda City i DTEC SV,2014,65000,Diesel,Manual,First,26.0 kmpl,6.99,699000
Volkswagen Vento Diesel Highline,2011,50000,Diesel,Manual,First,20.54 kmpl,5,500000
Audi Q5 2008-2012 3.0 TDI,2014,25000,Diesel,Automatic,First,12.19 kmpl,44,4400000
Maruti Alto 800 LXI,2015,21000,Petrol,Manual,First,22.74 kmpl,2.79,279000
Tata Manza ELAN Quadrajet BS IV,2012,148000,Diesel,Manual,Second,21.12 kmpl,2.9,290000
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2016,68000,Petrol,Manual,First,15.29 kmpl,9.85,985000
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,2014,52000,Diesel,Automatic,First,12.0 kmpl,49,4900000
Mahindra Thar CRDe,2016,19000,Diesel,Manual,First,16.55 kmpl,9.25,925000
Hyundai Verna 1.6 CRDI,2011,74000,Diesel,Manual,Second,22.32 kmpl,3.75,375000
Ford Aspire Titanium Diesel,2017,30279,Diesel,Manual,First,26.1 kmpl,7.29,729000
Mini Cooper 3 DOOR D,2016,20000,Diesel,Automatic,First,20.7 kmpl,23.5,2350000
Maruti Omni 8 Seater BSIV,2013,34834,Petrol,Manual,First,14.0 kmpl,2.6,260000
Mahindra Verito 1.5 D4 BSIV,2015,90000,Diesel,Manual,Second,21.03 kmpl,3.1,310000
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,2016,38730,Diesel,Automatic,First,14.21 kmpl,29.98,2998000
Renault Duster 110PS Diesel RxZ,2016,57390,Diesel,Manual,First,19.01 kmpl,6.73,673000
Maruti Swift Dzire Tour LDI,2016,100000,Diesel,Manual,First,23.4 kmpl,3.5,350000
Volkswagen Polo Petrol Highline 1.2L,2011,50000,Petrol,Manual,First,16.47 kmpl,2.35,235000
Mahindra XUV500 W10 2WD,2017,64961,Diesel,Manual,First,16.0 kmpl,16.13,1613000
Volkswagen Polo 1.2 MPI Highline,2014,72465,Petrol,Manual,First,16.47 kmpl,5.9,590000
Maruti Ritz VXI,2012,68776,Petrol,Manual,First,21.1 kmpl,3.9,390000
Chevrolet Optra 1.6 Elite,2005,150000,Petrol,Manual,First,14.7 kmpl,1.5,150000
Toyota Innova 2.5 GX 7 STR BSIV,2012,68000,Diesel,Manual,First,12.8 kmpl,6.95,695000
Honda City i DTec SV,2015,33000,Diesel,Manual,First,26.0 kmpl,7,700000
Volkswagen Ameo 1.2 MPI Highline,2017,22389,Petrol,Manual,First,17.0 kmpl,7.23,723000
Maruti SX4 ZDI Leather,2012,90000,Diesel,Manual,First,21.5 kmpl,3.81,381000
Maruti Swift ZXI,2012,42000,Petrol,Manual,Third,18.6 kmpl,4.5,450000
Hyundai Creta 1.6 CRDi SX,2017,38767,Diesel,Manual,First,19.67 kmpl,12.6,1260000
Audi Q7 35 TDI Quattro Technology,2015,21000,Diesel,Automatic,First,12.07 kmpl,48,4800000
Maruti Alto LXi BSIII,2010,59136,Petrol,Manual,First,19.7 kmpl,2.96,296000
Honda Amaze SX i-DTEC,2014,36000,Diesel,Manual,First,25.8 kmpl,3.25,325000
Volkswagen Passat Diesel Highline 2.0 TDI,2011,95000,Diesel,Automatic,Second,18.33 kmpl,8.5,850000
Hyundai Elantra CRDi SX AT,2013,51000,Diesel,Automatic,First,19.5 kmpl,8.75,875000
Maruti Wagon R VXI BS IV,2011,36411,Petrol,Manual,First,18.9 kmpl,3.08,308000
Land Rover Discovery Sport TD4 HSE 7S,2017,40000,Diesel,Automatic,First,12.81 kmpl,41.5,4150000
Honda City i VTEC SV,2016,27300,Petrol,Manual,First,17.8 kmpl,7,700000
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,2011,29813,Petrol,Automatic,Second,14.74 kmpl,11.5,1150000
Maruti Wagon R LX BS IV,2011,71000,Petrol,Manual,First,20.51 kmpl,2.6,260000
Hyundai Verna 1.6 CRDI,2014,32000,Diesel,Manual,First,22.32 kmpl,4.3,430000
Maruti Ertiga VXI CNG,2017,19234,CNG,Manual,First,17.5 km/kg,8.35,835000
Volkswagen Tiguan 2.0 TDI Highline,2017,50510,Diesel,Automatic,First,17.06 kmpl,24.9,2490000
BMW X1 sDrive 20d Exclusive,2011,102000,Diesel,Automatic,First,15.06 kmpl,13.75,1375000
